id,answer
CORP-TAX-001,Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist das Einkommen der Körperschaft.
CORP-TAX-002,"Eine Körperschaft, die ein zinsloses Darlehen an ihren Gesellschafter vergibt, unterliegt in Österreich der Körperschaftsteuer. Gemäß § 2 Abs. 1 Z 1 KStG unterliegt die Körperschaft der Körperschaftsteuer, wenn sie eine Gesellschaft ist, die nach österreichischem Recht gegründet wurde.

Das zinslose Darlehen wird als Einnahme der Körperschaft angesehen und unterliegt der Körperschaftsteuer. Gemäß § 4 Abs. 1 Z 1 KStG sind Einnahmen aus der Beteiligung an einer Gesellschaft, die nicht unter § 2 Abs. 1 Z 1 KStG fällt, steuerpflichtig.

Es ist jedoch zu beachten, dass die Körperschaftsteuer nur auf den Gewinn der Körperschaft anfällt, nicht auf das Darlehen selbst. Der Gesellschafter muss jedoch die Einnahmen aus dem Darlehen versteuern, wenn er sie als Einkünfte aus Kapitalvermögen betrachtet."
CORP-TAX-003,"Körperschaften, die auf Grund der Rechtsform nach unternehmensrechtlichen Vorschriften zur Rechnungslegung verpflichtet sind, rechnungslegungspflichtige Erwerbs- und Wirtschaftsgenossenschaften sowie vergleichbare unbeschränkt steuerpflichtige ausländische Körperschaften."
CORP-TAX-004,"Gemäß § 22 Abs. 2 EStG (Einkommensteuergesetz) wird eine Dividende einer österreichischen Tochtergesellschaft bei der Tochter (a) als Einkünfte aus Kapitalvermögen behandelt und mit 27,5% besteuert.

Bei der österreichischen Muttergesellschaft (b) wird die Dividende gemäß § 22 Abs. 2 EStG als Einkünfte aus Kapitalvermögen behandelt, jedoch unter Berücksichtigung des Abkommens zur Vermeidung der Doppelbesteuerung oder einer Maßnahme gemäß Paragraph 48, BAO. Der Teil der Dividende, der inländische Steuerbemessungsgrundlage ausgeschieden wird, wird nicht besteuert."
CORP-TAX-005,"Die steuerliche Behandlung einer offenen von einer verdeckten Ausschüttung unterscheidet sich auf Ebene der ausschüttenden Körperschaft insbesondere durch die steuerliche Behandlung der Kapitalerträge. 

Offene Ausschüttungen sind steuerpflichtig und unterliegen der Körperschaftsteuer. 

Verdeckte Ausschüttungen hingegen sind steuerneutral und unterliegen nicht der Körperschaftsteuer."
CORP-TAX-006,"Laut § 33 Abs. 3 EStG 1988 beträgt der maximal mögliche Verlustabzug 7.000 S pro Monat. Es gibt jedoch Ausnahmen, wie z.B. bei der gemeinsamen Versteuerung, wo der Verlustabzug auf 0 S reduziert wird, wenn der Arbeitnehmer im Kalenderjahr 1994 einen Lohnbezug hat, für den eine zweite oder weitere Lohnsteuerkarte vorgelegt wurde."
CORP-TAX-007,"Ein Mantelkauf ist eine Form der Unternehmenszusammenschluss, bei der eine Gesellschaft (Mantelgesellschaft) eine andere Gesellschaft (Beteiligungsunternehmen) übernimmt, ohne dass die Beteiligungsunternehmen selbst aktiv ist. 

Die steuerliche Konsequenz eines Mantelkaufs ist, dass die Mantelgesellschaft die Verluste des Beteiligungsunternehmens aufnehmen kann, ohne dass dies zu einer Verschlechterung der Eigenkapitalquote führt. Dies liegt daran, dass der Eigenkapitalquotenvergleich nur zwischen der Mantelgesellschaft und dem Konzern durchgeführt wird, nicht zwischen der Mantelgesellschaft und dem Beteiligungsunternehmen."
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters gilt folgendes:

Der Forderungsverzicht eines Gesellschafters ist steuerlich nicht relevant, da es sich um eine internationale Körperschaftsbeziehung handelt. Die Voraussetzungen des Artikels 2 der Richtlinie 2011/9 müssen erfüllt sein, um die steuerlichen Regelungen anzuwenden."
CORP-TAX-009,"Die Verlustverrechnung von ausländischen Gruppenmitgliedern unterscheidet sich von der inländischer Gruppenmitglieder dadurch, dass die Verluste ausländischer Gruppenmitglieder nur dann verrechnet werden können, wenn diese Gruppenmitglieder in einem schriftlichen Gruppenantrag genannt sind und der Gruppenantrag nachweislich vor dem Ablauf des Wirtschaftsjahres unterfertigt wurde."
CORP-TAX-010,"Nein, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind nicht steuerpflichtig."
CORP-TAX-011,"Nein, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind nicht abzugsfähig (§ 6 Z 2 lit. a des Einkommensteuergesetzes 1988)."
